Country,Region,Population,Area square km,Pop density per square km,Coastline,Net migration,Infant mortality per 1000 births,GDP in dollars per capita,Literacy rate,Phones per 1000,Birthrate,Deathrate,Agriculture,Industry,Service
Denmark,Europe,5450661,43094,"126,5","16,97","2,48","4,56",31100,"100,0","614,6","11,13","10,36","0,018","0,246","0,735"
Djibouti,Africa,486530,23000,"21,2","1,37",0,"104,13",1300,"67,9","22,8","39,53","19,31","0,179","0,225","0,596"
Dominica,South America,68910,754,"91,4","19,63","-13,87","14,15",5400,"94,0","304,8","15,27","6,73","0,177","0,328","0,495"
Dominican Republic,South America,9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","23,22","5,73","0,112","0,306","0,582"
East Timor,Asia,1062777,15007,"70,8","4,70",0,"47,41",500,"58,6",,"26,99","6,24","0,085","0,231","0,684"
Ecuador,South America,13547510,283560,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6","22,29","4,23","0,07","0,312","0,618"
Egypt,Africa,78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","22,94","5,23","0,149","0,357","0,493"
El Salvador,South America,6822378,21040,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4","26,61","5,78","0,099","0,302","0,599"
Equatorial Guinea,Africa,540109,28051,"19,3","1,06",0,"85,13",2700,"85,7","18,5","35,59","15,06","0,03","0,906","0,062"
Eritrea,Africa,4786994,121320,"39,5","1,84",0,"74,87",700,"58,6","7,9","34,33","9,6","0,102","0,254","0,643"
Estonia,Europe,1324333,45226,"29,3","8,39","-3,16","7,87",12300,"99,8","333,8","10,04","13,25","0,04","0,294","0,666"
Ethiopia,Africa,74777981,1127127,"66,3","0,00",0,"95,32",700,"42,7","8,2","37,98","14,86","0,475","0,099","0,426"
Faroe Islands,Europe,47246,1399,"33,8","79,84","1,41","6,24",22000,,"503,8","14,05","8,7","0,27","0,11","0,62"
Fiji,Oceania,905949,18270,"49,6","6,18","-3,14","12,62",5800,"93,7","112,6","22,55","5,65","0,089","0,135","0,776"
Finland,Europe,5231372,338145,"15,5","0,37","0,95","3,57",27400,"100,0","405,3","10,45","9,86","0,028","0,295","0,676"
France,Europe,60876136,547030,"111,3","0,63","0,66","4,26",27600,"99,0","586,4","11,99","9,14","0,022","0,214","0,764"
French Guiana,South America,199509,91000,"2,2","0,42","6,27","12,07",8300,"83,0","255,6","20,46","4,88","0,066","0,156","0,778"
French Polynesia,Oceania,274578,4167,"65,9","60,60","2,94","8,44",17500,"98,0","194,5","16,68","4,69","0,031","0,19","0,769"
Gabon,Africa,1424906,267667,"5,3","0,33",0,"53,64",5500,"63,2","27,4","36,16","12,25","0,061","0,592","0,348"
Gambia,Africa,1641564,11300,"145,3","0,71","1,57","72,02",1700,"40,1","26,8","39,37","12,25","0,308","0,142","0,549"
Gaza Strip,Asia,1428757,360,"3968,8","11,11","1,6","22,93",600,,"244,3","39,45","3,8","0,03","0,283","0,687"
Georgia,Europe,4661473,69700,"66,9","0,44","-4,7","18,59",2500,"99,0","146,6","10,41","9,23","0,172","0,275","0,553"
Germany,Europe,82422299,357021,"230,9","0,67","2,18","4,16",27600,"99,0","667,9","8,25","10,62","0,009","0,296","0,695"
Ghana,Africa,22409572,239460,"93,6","0,23","-0,64","51,43",2200,"74,8","14,4","30,52","9,72","0,366","0,246","0,387"
Gibraltar,Europe,27928,7,"3989,7","171,43",0,"5,13",17500,,"877,7","10,74","9,31",,,
Greece,Europe,10688058,131940,"81,0","10,37","2,35","5,53",20000,"97,5","589,7","9,68","10,24","0,054","0,213","0,733"
Greenland,North America,56361,2166086,"0,0","2,04","-8,37","15,82",20000,,"448,9","15,93","7,84",,,
Grenada,South America,89703,344,"260,8","35,17","-13,92","14,62",5000,"98,0","364,5","22,08","6,88","0,054","0,18","0,766"
Guadeloupe,South America,452776,1780,"254,4","17,19","-0,15","8,6",8000,"90,0","463,8","15,05","6,09","0,15","0,17","0,68"
Guam,Oceania,171019,541,"316,1","23,20",0,"6,94",21000,"99,0","492,0","18,79","4,48",,,
Guatemala,South America,12293545,108890,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1","29,88","5,2","0,227","0,188","0,585"
